Household_ID,Country,Energy_Source,Monthly_Usage_kWh,Year,Household_Size,Income_Level,Urban_Rural,Adoption_Year,Subsidy_Received,Cost_Savings_USD
H01273,Canada,Wind,894.85,2022,2,Middle,Rural,2020,Yes,498.9
H00291,South Africa,Wind,1209.64,2020,2,Middle,Rural,2010,No,28.4
H04828,Indonesia,Wind,615.12,2023,3,Low,Rural,2023,No,358.32
H00253,Spain,Geothermal,542.9,2024,8,High,Urban,2014,Yes,188.29
H03246,Mexico,Wind,478.87,2022,4,Middle,Urban,2011,Yes,141.9
H00351,USA,Wind,589.55,2022,8,Middle,Urban,2015,No,215.86
H01188,Canada,Wind,105.55,2024,2,Low,Rural,2017,No,440.28
H01962,Chile,Geothermal,289.49,2020,5,High,Rural,2017,No,247.73
H00423,Brazil,Solar,117.21,2020,7,Low,Urban,2014,Yes,335.33
H00091,New Zealand,Solar,402.77,2022,1,Low,Urban,2011,No,12.86
H03730,Nigeria,Hydro,742.93,2021,7,High,Urban,2017,Yes,259.85
H02237,Canada,Solar,1488.85,2020,2,Middle,Urban,2015,No,367.18
H00671,Nigeria,Hydro,93.69,2023,3,Middle,Rural,2011,No,88.63
H03041,Colombia,Solar,826.07,2022,4,Middle,Urban,2014,Yes,343.09
H00027,Colombia,Wind,1389.49,2021,7,High,Urban,2014,Yes,168.62
H00430,Ghana,Hydro,516.85,2022,6,Middle,Urban,2013,Yes,498.33
H00684,Italy,Hydro,972.9,2021,8,Low,Rural,2015,Yes,105.19
H04464,New Zealand,Solar,1328.57,2020,8,High,Rural,2019,No,181.35
H03946,Nigeria,Hydro,922.15,2022,8,Low,Rural,2018,Yes,229.09
H03524,China,Hydro,1108.74,2024,8,High,Urban,2012,Yes,323.78
H01542,Indonesia,Wind,948.93,2024,7,High,Rural,2024,No,354.47
H02032,Germany,Biomass,115.59,2021,7,Low,Urban,2015,No,462.45
H02233,Argentina,Solar,139.39,2023,5,High,Urban,2023,No,199.14
H04121,USA,Solar,1446.24,2021,7,High,Rural,2011,Yes,183.01
H03236,Australia,Biomass,408.96,2021,7,Middle,Urban,2016,No,173.41
H00255,Australia,Geothermal,618.36,2020,5,High,Urban,2012,No,338.2
H01030,Peru,Wind,503.53,2022,1,Middle,Rural,2021,No,248.47
H04393,Nigeria,Wind,260.84,2021,7,Middle,Urban,2015,Yes,60.73
H03801,Brazil,Wind,816.88,2024,8,High,Rural,2024,No,46.98
H04311,France,Biomass,1440.23,2021,5,High,Urban,2020,No,380.51
H02510,Spain,Solar,589.43,2021,3,Middle,Rural,2016,No,100.27
H02293,Spain,Biomass,62.63,2022,4,High,Urban,2014,Yes,179.67
H01324,Nigeria,Wind,1443.35,2020,1,High,Urban,2019,No,399.21
H01551,Colombia,Hydro,70.26,2022,3,High,Rural,2010,Yes,275.99
H04648,New Zealand,Wind,551.06,2022,5,Middle,Rural,2013,Yes,387.12
H00316,Canada,Hydro,470.67,2021,7,Low,Rural,2018,No,133.63
H01243,UK,Wind,518.26,2022,3,Low,Urban,2018,No,108.91
H02451,Japan,Biomass,979.51,2022,8,Middle,Rural,2018,No,378.39
H01579,China,Hydro,1202.47,2022,8,Middle,Urban,2017,No,19.79
H04626,Ghana,Biomass,1343.68,2024,5,High,Rural,2017,Yes,367.06
H03117,New Zealand,Solar,696.89,2023,7,Low,Urban,2015,No,480.18
H00070,UK,Hydro,462.27,2021,1,Middle,Rural,2017,Yes,267.83
H00860,Italy,Biomass,968.32,2021,8,High,Rural,2016,No,165.37
H02754,New Zealand,Geothermal,973.53,2024,6,Middle,Urban,2010,Yes,416.97
H01633,Kenya,Hydro,215.22,2021,7,Middle,Urban,2012,Yes,316.89
H01651,Mexico,Biomass,190.46,2020,2,Low,Urban,2012,No,391.05
H03861,Indonesia,Solar,735.67,2023,3,High,Urban,2017,Yes,244.15
H03107,France,Wind,1262.01,2023,8,Middle,Urban,2013,No,467.2
H01075,South Korea,Wind,1483.65,2020,7,Middle,Urban,2016,Yes,447.13
H04002,Australia,Geothermal,455.48,2022,3,Low,Urban,2014,No,278.97
H00788,France,Hydro,1027.3,2023,3,Middle,Urban,2012,Yes,136.71
H02606,South Africa,Geothermal,313.78,2023,8,High,Urban,2011,No,171.08
H03631,Germany,Hydro,188.49,2024,2,Middle,Rural,2022,No,484.19
H02122,New Zealand,Geothermal,841.26,2021,4,Middle,Rural,2011,Yes,388.6
H01875,Egypt,Wind,978.88,2021,8,Middle,Urban,2010,Yes,367.33
H00812,Australia,Biomass,1263.52,2022,4,Middle,Rural,2015,Yes,90.95
H00388,Egypt,Solar,1016.41,2021,7,Middle,Rural,2020,No,226.29
H02883,Mexico,Geothermal,194.84,2020,5,Low,Urban,2012,Yes,29.87
H01176,Australia,Geothermal,360.11,2023,2,High,Urban,2020,No,29
H03198,Mexico,Hydro,1337.94,2021,3,High,Urban,2013,Yes,119.19
H02624,Mexico,Hydro,1298.34,2020,5,Middle,Urban,2011,Yes,224.2
H01352,UK,Biomass,525.54,2023,8,High,Rural,2022,Yes,61.35
H00411,Spain,Biomass,402.64,2023,4,Middle,Rural,2014,Yes,192.03
H04213,Brazil,Solar,1069.88,2024,7,Middle,Rural,2022,No,249.05
H00110,Kenya,Geothermal,1326.24,2024,7,High,Rural,2012,Yes,31.21
H04996,Ghana,Wind,396.8,2021,2,Low,Urban,2010,No,314.17
H03430,Germany,Hydro,1150.47,2020,5,Middle,Urban,2020,Yes,186.67
H02810,Egypt,Wind,1430.71,2021,8,Middle,Rural,2013,No,285.73
H02595,New Zealand,Solar,899.32,2020,2,Middle,Urban,2016,Yes,265.92
H02837,India,Hydro,917.22,2020,7,Low,Rural,2018,No,488.18
H02373,Canada,Geothermal,423.94,2023,5,High,Rural,2015,Yes,278.61
H01236,Chile,Biomass,1349,2020,4,Middle,Urban,2018,No,340.17
H02147,Argentina,Wind,1403.61,2021,3,High,Urban,2011,Yes,444.74
H04976,Mexico,Wind,1277.08,2021,7,Middle,Rural,2015,No,118.23
H00600,Kenya,Wind,186.02,2022,5,Low,Rural,2010,No,48.37
H01435,Nigeria,Hydro,84.85,2021,3,High,Rural,2019,Yes,110.31
H04997,Canada,Hydro,650.63,2024,2,Low,Urban,2024,Yes,424.09
H00539,Kenya,Wind,1335.43,2020,7,High,Rural,2010,No,194.18
H00722,South Africa,Geothermal,887.04,2021,2,Low,Rural,2016,Yes,268.71
H04411,Colombia,Biomass,1445.55,2022,2,Low,Urban,2011,Yes,439.45
H01873,South Africa,Hydro,1325.18,2021,6,High,Rural,2017,No,180.7
H02846,Ghana,Solar,805.86,2020,7,High,Urban,2011,Yes,51.4
H02054,South Korea,Biomass,602.96,2024,6,Middle,Rural,2019,No,22.03
H02908,China,Hydro,1278.4,2022,6,Middle,Rural,2011,Yes,422.69
H02255,Canada,Geothermal,1416.64,2023,3,Middle,Rural,2016,No,110.43
H03913,Italy,Biomass,81.89,2020,2,Middle,Urban,2020,Yes,94.04
H00178,Australia,Wind,157.05,2023,3,Low,Rural,2022,No,276.16
H02891,New Zealand,Geothermal,1074.61,2023,4,Middle,Urban,2022,Yes,452.43
H03674,Egypt,Geothermal,1015.24,2022,1,Middle,Rural,2010,Yes,303.53
H00081,USA,Wind,165.64,2023,7,Middle,Rural,2018,Yes,148.68
H02562,Nigeria,Wind,71.81,2023,3,High,Rural,2014,Yes,308.49
H01724,Indonesia,Hydro,177.58,2024,2,Low,Rural,2021,No,366.25
H01618,Colombia,Solar,737.57,2021,1,Middle,Urban,2014,Yes,79.69
H01655,France,Hydro,98.8,2024,4,Middle,Urban,2019,Yes,173.92
H02329,New Zealand,Biomass,152.93,2021,4,Low,Urban,2016,No,219.23
H04614,Egypt,Wind,488.04,2024,6,Low,Urban,2014,Yes,125.36
H00222,Mexico,Hydro,607.36,2024,8,High,Urban,2020,Yes,70.41
H00094,New Zealand,Solar,834.37,2020,6,Low,Urban,2015,Yes,211.56
H02610,Kenya,Solar,781.9,2023,3,High,Rural,2023,Yes,419.91
H03383,UK,Biomass,1137.5,2021,6,Low,Rural,2011,Yes,203.5
H04416,France,Hydro,292.57,2021,5,High,Urban,2018,No,180.54
H01398,USA,Hydro,201.79,2020,4,Middle,Rural,2011,No,437.74
H04687,South Africa,Geothermal,113.51,2020,1,Middle,Rural,2020,Yes,221.31
H01293,Chile,Geothermal,117.02,2024,8,Middle,Rural,2010,No,499.12
H02165,Canada,Geothermal,1204.8,2024,3,Middle,Urban,2013,No,339.92
H02940,Mexico,Hydro,862.04,2021,1,Low,Urban,2012,No,370.63
H03669,South Africa,Hydro,663.16,2024,2,High,Rural,2023,Yes,301.93
H00813,Argentina,Wind,844.42,2023,1,Middle,Urban,2017,No,440.91
H01259,Australia,Biomass,172.96,2021,3,High,Rural,2020,No,275.14
H00890,Italy,Solar,533.4,2020,1,Low,Rural,2015,No,344.13
H01452,Nigeria,Geothermal,131.5,2020,4,High,Urban,2010,No,493.71
H03317,Argentina,Hydro,890.67,2024,7,Middle,Rural,2013,No,330.75
H02560,Egypt,Wind,690.66,2020,2,Middle,Rural,2014,Yes,42.35
H03575,Peru,Wind,175.4,2020,2,Middle,Rural,2017,No,44.64
H02681,Italy,Geothermal,1027.49,2020,1,Low,Rural,2014,No,445.14
H04652,New Zealand,Geothermal,605.53,2022,6,Middle,Urban,2020,No,78.57
H04812,Italy,Geothermal,172.23,2023,5,High,Urban,2015,Yes,82.81
H04680,South Africa,Geothermal,224.11,2020,3,High,Rural,2011,No,417.05
H02965,USA,Hydro,1244.82,2023,5,High,Rural,2013,Yes,54.72
H02673,Colombia,Geothermal,1474.07,2023,7,Middle,Urban,2011,Yes,41.2
H00562,Argentina,Wind,465.6,2021,5,Middle,Rural,2011,No,217.2
H02779,Egypt,Wind,593.32,2024,1,High,Urban,2015,Yes,123.65
H02949,South Africa,Solar,1005.19,2020,7,High,Rural,2017,No,214.47
H02818,Peru,Wind,1208.87,2024,6,Middle,Rural,2011,No,200.8
H02759,Italy,Wind,697.22,2024,1,Middle,Rural,2017,Yes,358.26
H01757,Peru,Geothermal,269.66,2021,4,Middle,Rural,2017,Yes,76.74
H00725,Japan,Geothermal,193.05,2024,5,High,Rural,2017,Yes,276.59
H00220,Colombia,Geothermal,1092.98,2024,3,Middle,Rural,2021,No,52.92
H04140,Kenya,Solar,524.35,2020,7,Middle,Urban,2020,No,36.4
H03958,New Zealand,Wind,1285.58,2021,3,Middle,Rural,2010,No,138.95
H01589,Italy,Geothermal,652.56,2023,2,Low,Urban,2012,Yes,24.44
H03348,Canada,Biomass,1103.59,2023,4,Low,Urban,2017,No,179.78
H03971,Canada,Hydro,986.98,2023,6,Middle,Rural,2011,Yes,308.38
H04708,Canada,Biomass,421.09,2024,2,High,Rural,2012,No,19.08
H00044,Australia,Biomass,866.97,2024,2,Middle,Rural,2015,Yes,341.45
H03002,New Zealand,Wind,315.99,2022,2,Middle,Urban,2010,Yes,406.22
H00211,Japan,Hydro,629.57,2024,2,High,Urban,2011,Yes,446.65
H00678,New Zealand,Hydro,1348.27,2022,3,Middle,Rural,2016,Yes,215.63
H00355,China,Hydro,104.57,2023,7,High,Rural,2011,No,490.62
H01434,Peru,Geothermal,1055.72,2023,7,Low,Urban,2016,Yes,333.97
H00950,Japan,Solar,1048.01,2020,7,Low,Urban,2010,Yes,283.54
H02844,South Korea,Biomass,440.4,2021,3,Low,Urban,2014,No,254.25
H00578,Kenya,Biomass,403.06,2020,1,Middle,Urban,2019,Yes,149.33
H03929,South Africa,Geothermal,735.89,2022,8,High,Urban,2014,No,411.02
H00545,USA,Hydro,1163.88,2020,8,Middle,Urban,2013,No,193.41
H00368,Spain,Geothermal,359.67,2023,8,Middle,Rural,2010,Yes,251.84
H01613,Ghana,Solar,790.8,2023,6,Middle,Rural,2013,Yes,346.91
H03551,Japan,Wind,1038.9,2021,3,Low,Urban,2020,Yes,158.21
H03717,Peru,Geothermal,1272.03,2021,1,Middle,Urban,2011,No,119.72
H03780,Canada,Biomass,1298.09,2020,1,High,Urban,2020,Yes,373.04
H00136,Peru,Solar,581.6,2023,3,Low,Urban,2015,Yes,294.1
H04481,Mexico,Wind,751.18,2022,6,High,Rural,2015,No,218.78
H01438,South Africa,Biomass,1278.07,2022,4,High,Urban,2015,No,117.22
H00048,South Africa,Wind,1418.55,2024,5,Middle,Rural,2024,Yes,437.89
H01361,Indonesia,Hydro,1330.02,2021,1,Low,Rural,2016,Yes,88.81
H00735,Colombia,Biomass,699.03,2024,5,High,Urban,2022,Yes,285.64
H01535,Indonesia,Solar,1223.21,2024,2,Middle,Urban,2020,Yes,60.31
H02005,Japan,Geothermal,323.91,2024,8,Low,Rural,2016,No,357.88
H03796,Chile,Biomass,462.22,2023,7,Low,Urban,2020,Yes,155.68
H02520,Mexico,Solar,1245.13,2024,8,Middle,Urban,2018,Yes,211.33
H01973,USA,Hydro,1420.57,2022,8,Middle,Urban,2019,No,217.81
H00997,Brazil,Geothermal,1073.47,2023,8,High,Urban,2020,No,197.41
H00062,New Zealand,Biomass,828.24,2023,3,High,Urban,2010,Yes,146.18
H01109,Argentina,Wind,1011.87,2020,2,Middle,Rural,2020,No,487.57
H02406,UK,Solar,1117.27,2022,6,Low,Urban,2017,Yes,222.88
H00096,Canada,Geothermal,816.03,2021,6,Middle,Urban,2012,No,10.42
H00479,New Zealand,Wind,84.08,2020,8,High,Urban,2015,No,315.42
H04360,China,Wind,1388.72,2024,4,Low,Rural,2023,No,326.8
H04113,Egypt,Geothermal,1231.86,2024,4,High,Rural,2019,Yes,76.73
H03708,Australia,Wind,760.97,2022,5,Low,Urban,2012,Yes,152.83
H01102,Canada,Solar,604.69,2021,7,Middle,Urban,2012,No,193.39
H02747,Argentina,Wind,763,2024,8,Low,Rural,2019,No,364.29
H02171,Spain,Hydro,1346.02,2022,3,Low,Rural,2017,No,130.62
H00323,South Africa,Wind,453.84,2023,3,High,Urban,2023,Yes,308.23
H04255,Chile,Biomass,1270.95,2024,2,Middle,Urban,2011,Yes,402.3
H03143,Ghana,Geothermal,117.05,2021,3,High,Urban,2011,No,39.22
H03538,Canada,Solar,547.68,2021,5,Low,Rural,2021,No,50.21
H04926,Canada,Biomass,874.22,2020,6,Middle,Rural,2012,Yes,476.56
H02925,Japan,Hydro,1195.66,2023,2,High,Rural,2013,No,72.41
H01150,China,Solar,678.92,2024,1,Middle,Rural,2011,No,486.72
H03618,Spain,Solar,513.7,2020,8,Low,Rural,2018,Yes,265.01
H00292,UK,Biomass,890.84,2022,8,Low,Urban,2021,No,390.01
H03750,Australia,Solar,1006.04,2023,7,Middle,Urban,2011,Yes,53.54
H03587,Italy,Solar,1366.09,2022,1,Low,Rural,2017,Yes,216
H00534,Indonesia,Biomass,235.76,2022,7,High,Rural,2016,No,470.15
H03608,Colombia,Wind,179.94,2020,4,Low,Rural,2014,Yes,343.95
H02649,New Zealand,Hydro,182.98,2020,6,High,Urban,2020,No,183.38
H04811,USA,Biomass,590.49,2024,3,Low,Urban,2011,Yes,233.34
H01984,Ghana,Biomass,74.98,2022,7,High,Rural,2022,Yes,107.47
H02933,Japan,Solar,1470.86,2021,3,Middle,Urban,2013,No,381.53
H01537,China,Wind,1418.63,2024,6,High,Rural,2022,No,455.67
H04535,South Korea,Hydro,593.89,2021,1,Middle,Urban,2021,No,187.31
H04173,Egypt,Biomass,930.84,2020,8,Middle,Rural,2010,Yes,453.29
H03361,Chile,Geothermal,588.4,2023,6,High,Rural,2015,No,406.04
H03666,Indonesia,Wind,1180.33,2022,4,High,Rural,2022,No,310.88
H04006,South Africa,Hydro,1103.77,2022,4,Middle,Rural,2011,No,187.19
H03627,New Zealand,Geothermal,680.31,2021,1,High,Urban,2020,No,34.38
H00587,South Korea,Solar,295.83,2021,3,Middle,Rural,2019,No,110.96
H03257,Spain,Hydro,1062.6,2022,2,Low,Urban,2021,Yes,182.46
H02299,Brazil,Hydro,747.89,2020,7,Middle,Rural,2020,No,301.39
H03989,India,Biomass,501.65,2020,6,Low,Rural,2015,No,380.43
H00585,Australia,Wind,1071.4,2021,5,Middle,Rural,2012,Yes,143.65
H02424,Mexico,Hydro,1070.04,2021,8,Middle,Rural,2015,No,123.95
H01392,Italy,Biomass,587.24,2024,1,Middle,Urban,2018,Yes,455
H04526,Australia,Solar,485.47,2024,6,Middle,Urban,2018,Yes,448.91
H04921,Italy,Wind,1467.24,2020,3,Middle,Rural,2017,No,255.67
H04801,USA,Wind,341.39,2024,1,Middle,Rural,2022,Yes,233.36
H03241,New Zealand,Geothermal,700.38,2020,2,Low,Rural,2013,No,455.18
H04282,Egypt,Solar,1424.33,2023,3,Middle,Rural,2010,Yes,188.91
H03339,Egypt,Solar,1205.43,2020,8,Middle,Rural,2016,Yes,199.63
H03221,Mexico,Solar,1451.98,2020,7,High,Urban,2015,Yes,23.49
H02112,Nigeria,Wind,1348.63,2020,7,Middle,Urban,2013,Yes,414.49
H01175,France,Geothermal,217.54,2023,7,High,Urban,2023,Yes,193.74
H04863,Italy,Hydro,1257.87,2021,3,Middle,Rural,2010,No,134
H03812,France,Geothermal,1291.8,2021,4,High,Urban,2014,No,232
H01868,Canada,Hydro,1362.75,2020,1,Middle,Rural,2010,No,20.6
H02615,Brazil,Biomass,1059.04,2020,1,Low,Rural,2015,No,149.2
H03867,Ghana,Geothermal,406.77,2024,4,High,Urban,2017,Yes,497.23
H04886,India,Wind,1440.55,2020,3,Low,Rural,2020,Yes,74.45
H03779,South Korea,Biomass,957.54,2022,4,High,Urban,2011,Yes,72.2
H03847,Colombia,Biomass,859.13,2024,1,Low,Urban,2010,No,475.8
H02417,New Zealand,Biomass,503.95,2020,2,High,Urban,2013,Yes,425.48
H00071,New Zealand,Hydro,123.89,2022,7,Low,Urban,2020,No,123.3
H04881,Kenya,Geothermal,157.72,2022,2,Middle,Rural,2018,No,94.06
H01127,France,Solar,620.77,2024,5,Low,Rural,2018,Yes,22.1
H04025,Mexico,Hydro,1450.08,2020,2,High,Rural,2017,No,426.76
H03251,Mexico,Solar,318.83,2021,3,High,Urban,2011,No,298.1
H03902,Italy,Geothermal,1101.28,2023,5,Middle,Rural,2013,No,210.79
H01096,Australia,Hydro,890.76,2024,6,Middle,Urban,2010,Yes,401.62
H04546,Colombia,Solar,387.85,2022,1,Low,Rural,2010,Yes,438.15
H01213,South Korea,Hydro,564.13,2023,6,Low,Rural,2022,No,426.43
H03922,Mexico,Biomass,1089.87,2022,4,Low,Rural,2017,No,64.57
H01426,New Zealand,Geothermal,1120.88,2022,1,Middle,Rural,2010,Yes,271.37
H03067,Canada,Wind,417.09,2020,6,Middle,Urban,2020,Yes,113.89
H04520,Nigeria,Biomass,1353.78,2024,3,Middle,Rural,2012,Yes,425.42
H02101,Peru,Solar,856.01,2023,7,Low,Urban,2019,No,318.42
H00808,Peru,Geothermal,74.28,2020,3,Middle,Urban,2017,Yes,110.91
H04744,UK,Solar,337.6,2023,4,Middle,Rural,2021,No,430.84
H03751,Japan,Wind,1117.06,2024,7,High,Rural,2021,Yes,391.96
H01363,Egypt,Solar,129.11,2021,6,Low,Urban,2011,Yes,137.67
H02318,Chile,Wind,1127.73,2020,6,Middle,Urban,2018,No,32.5
H04582,France,Solar,434.41,2022,6,High,Urban,2020,No,444.85
H04742,Canada,Wind,426.61,2021,2,Middle,Urban,2013,Yes,288.28
H01026,South Africa,Biomass,710.6,2020,4,Middle,Urban,2011,No,479.49
H03110,UK,Hydro,807.67,2024,4,Low,Urban,2012,Yes,14.95
H02111,Mexico,Biomass,422.5,2020,4,Low,Urban,2013,No,133.29
H01042,Canada,Solar,901.24,2023,5,Low,Urban,2017,Yes,86.59
H01877,Argentina,Wind,996.1,2023,5,Low,Urban,2019,Yes,250.08
H00882,UK,Hydro,222.72,2024,8,Middle,Urban,2015,Yes,143.52
H04300,Australia,Biomass,739.01,2020,3,Middle,Urban,2012,No,277.47
H01193,Australia,Hydro,1488.63,2023,1,High,Urban,2013,No,95.7
H04588,Italy,Hydro,830.14,2020,3,High,Rural,2018,Yes,218.31
H04511,Mexico,Hydro,1360.91,2023,3,Low,Rural,2013,No,139.13
H03671,Argentina,Solar,1026.22,2021,7,Middle,Urban,2021,No,108.14
H00625,South Korea,Solar,689.33,2020,5,High,Urban,2010,No,341.7
H02797,Peru,Wind,50.74,2021,8,Low,Rural,2017,No,241.45
H04292,USA,Solar,181.45,2023,3,Low,Rural,2017,Yes,464.75
H04969,Mexico,Wind,389.26,2023,5,Middle,Rural,2013,Yes,358.02
H00234,China,Wind,339.68,2024,8,High,Rural,2023,Yes,180.62
H04567,USA,Solar,299.22,2022,2,Low,Urban,2011,No,287.11
H01663,Mexico,Biomass,711.71,2022,1,Low,Rural,2016,Yes,141.3
H00416,New Zealand,Solar,258.85,2023,3,High,Urban,2023,No,149.83
H04247,Spain,Biomass,959.31,2024,1,Low,Rural,2013,No,422.9
H02174,Italy,Geothermal,362.18,2023,4,Low,Urban,2021,Yes,22.6
H01457,Kenya,Wind,1022.51,2022,2,Middle,Urban,2021,Yes,218.84
H00747,Egypt,Wind,1087.66,2023,1,Middle,Urban,2021,No,466.9
H00018,India,Wind,1383.67,2024,3,Middle,Urban,2016,Yes,372.48
H01201,Indonesia,Wind,916.77,2020,3,Middle,Rural,2014,Yes,94.99
H01700,Mexico,Solar,794.06,2020,3,Middle,Urban,2017,Yes,493.51
H03254,Nigeria,Wind,1101.17,2022,3,High,Urban,2016,Yes,280.71
H00597,Argentina,Wind,1395.91,2021,6,High,Urban,2018,Yes,66.07
H03227,Japan,Wind,668.76,2023,2,Middle,Urban,2011,Yes,316.27
H04406,Australia,Wind,1222.03,2021,8,High,Rural,2021,No,311.59
H04720,UK,Solar,1290.07,2021,8,High,Urban,2015,Yes,249.95
H01506,Italy,Wind,848.94,2022,4,Middle,Urban,2021,No,178.62
H01413,Australia,Wind,343.39,2024,7,Low,Urban,2015,No,331.3
H01966,USA,Geothermal,660.1,2024,2,Low,Urban,2021,Yes,320.43
H00372,New Zealand,Hydro,1135.58,2023,6,Low,Urban,2013,Yes,72.36
H01341,China,Geothermal,784.31,2024,2,High,Rural,2015,Yes,305
H00599,New Zealand,Geothermal,1177.81,2020,5,High,Rural,2016,No,379.73
H00239,UK,Wind,1235.84,2024,7,Low,Rural,2013,Yes,329.12
H03401,Mexico,Solar,927.41,2022,1,Low,Urban,2017,No,67.35
H02068,Peru,Geothermal,1042.19,2024,3,Low,Urban,2021,No,260.05
H00811,Kenya,Wind,874.6,2021,8,Middle,Urban,2014,No,492.11
H01095,New Zealand,Hydro,971.34,2020,8,Middle,Rural,2020,Yes,426.38
H04325,Argentina,Solar,1185.11,2020,3,Middle,Rural,2017,No,209.73
H04761,India,Geothermal,1484.63,2022,6,Low,Urban,2022,Yes,180.59
H03677,Ghana,Wind,1356.99,2023,4,Middle,Urban,2015,Yes,457.52
H03465,Peru,Biomass,1237.05,2020,4,High,Urban,2015,Yes,317.21
H03104,Chile,Wind,110.45,2020,1,High,Urban,2015,No,24.58
H02750,New Zealand,Geothermal,517.72,2020,8,Middle,Urban,2012,No,357.91
H02296,Mexico,Biomass,981.16,2022,8,Low,Rural,2015,No,150.51
H04193,New Zealand,Wind,1300.31,2020,1,High,Rural,2018,Yes,191.05
H03709,Italy,Wind,913.29,2022,2,Middle,Urban,2020,No,443.63
H03019,New Zealand,Solar,1262.26,2024,6,Middle,Urban,2023,Yes,81.47
H04253,Ghana,Wind,86.48,2024,5,Middle,Urban,2021,No,282.14
H00804,Ghana,Biomass,364.65,2024,1,Middle,Urban,2020,No,467.6
H04191,Kenya,Biomass,557,2022,2,High,Urban,2011,No,174.22
H03706,New Zealand,Wind,97.32,2024,1,Low,Rural,2019,No,374.78
H00752,Peru,Solar,1377.42,2023,5,Low,Rural,2017,No,458.71
H04645,Peru,Wind,1133.07,2020,8,Middle,Urban,2013,Yes,13.63
H02532,South Korea,Geothermal,777.57,2020,6,Middle,Rural,2019,No,30.35
H00622,Spain,Solar,928.81,2024,5,Middle,Rural,2011,No,460.47
H02298,USA,Wind,956.39,2023,5,Middle,Rural,2010,Yes,405.8
H03829,South Korea,Wind,626.25,2024,1,Middle,Rural,2015,Yes,155.22
H00567,Kenya,Geothermal,1027.37,2024,3,Low,Urban,2023,Yes,117.92
H01136,Nigeria,Hydro,1011.05,2022,7,High,Rural,2012,Yes,360.74
H01205,South Korea,Biomass,286.07,2020,3,High,Rural,2020,No,311.13
H01048,USA,Biomass,1189.32,2021,4,High,Urban,2021,Yes,57.84
H00052,Spain,Hydro,887.2,2023,6,Low,Urban,2015,No,121.86
H03652,Australia,Biomass,1100.77,2020,1,Middle,Rural,2013,Yes,192.25
H01045,Canada,Solar,965.89,2022,1,Low,Urban,2013,No,92.12
H02182,Argentina,Hydro,393.01,2024,8,Low,Rural,2022,Yes,485.06
H02689,Japan,Solar,1112.76,2024,6,Middle,Rural,2022,No,110.24
H00535,Egypt,Geothermal,716.3,2022,6,Middle,Urban,2017,No,192.01
H03185,New Zealand,Solar,458.16,2024,3,High,Rural,2012,No,296.43
H03858,New Zealand,Geothermal,1056.09,2020,6,Middle,Rural,2018,No,404.78
H00444,Kenya,Hydro,1472.76,2023,1,Low,Urban,2012,Yes,404.59
H03605,Brazil,Wind,290.25,2024,3,Low,Rural,2023,Yes,172.64
H00196,Australia,Hydro,1013.77,2024,2,High,Urban,2010,No,355.92
H01116,Germany,Biomass,1441.25,2022,1,Middle,Rural,2013,No,480.67
H00766,South Korea,Wind,1346.47,2020,1,Middle,Rural,2014,Yes,56.17
H01946,New Zealand,Solar,1206.11,2020,6,Middle,Rural,2014,No,267.54
H03248,Argentina,Geothermal,433.91,2022,3,High,Rural,2010,Yes,328.67
H03003,Peru,Geothermal,972.83,2023,6,Middle,Rural,2021,Yes,201.19
H01433,New Zealand,Biomass,425.88,2021,3,High,Rural,2021,Yes,474.97
H04201,Argentina,Solar,66.7,2023,7,Low,Rural,2019,No,66.54
H03096,Japan,Wind,823.19,2021,7,Middle,Urban,2016,No,55.96
H02923,Ghana,Biomass,1454.16,2021,2,Low,Rural,2018,No,235.81
H00645,Peru,Solar,308.65,2020,1,Middle,Urban,2015,Yes,48.78
H01050,Italy,Wind,549.62,2023,8,High,Urban,2023,Yes,70.37
H03746,Spain,Wind,660.79,2022,1,Middle,Rural,2010,No,14.58
H04094,Germany,Wind,1472.38,2020,7,Middle,Urban,2010,No,281.57
H04404,Brazil,Geothermal,954.5,2021,6,High,Rural,2010,No,436.23
H00121,France,Hydro,956.3,2024,7,Middle,Rural,2017,No,441.74
H02053,Peru,Solar,318.79,2020,5,High,Rural,2015,No,64.17
H04259,Peru,Hydro,1348.5,2021,1,High,Urban,2017,Yes,107.01
H04889,India,Wind,1340.21,2024,1,Middle,Urban,2021,Yes,390.15
H04335,South Africa,Hydro,1355.38,2021,1,Middle,Rural,2013,No,253.95
H04692,Egypt,Hydro,1251.95,2024,2,Low,Rural,2019,Yes,59.72
H00135,China,Biomass,731.01,2022,8,High,Urban,2019,No,286.13
H02461,New Zealand,Biomass,199.71,2024,1,Low,Urban,2010,No,282.96
H01955,USA,Hydro,1198.5,2022,4,Middle,Urban,2010,No,241.28
H02464,Mexico,Biomass,1197.54,2020,5,Middle,Rural,2016,No,468.34
H00185,Mexico,Geothermal,907.63,2021,5,Low,Urban,2010,No,135.81
H01393,USA,Biomass,284.54,2022,3,Middle,Urban,2014,Yes,484.06
H02277,South Korea,Geothermal,701.91,2021,3,Low,Rural,2018,Yes,50.93
H00512,USA,Biomass,1010.76,2024,4,High,Rural,2011,Yes,122.21
H04730,Australia,Solar,870.26,2022,1,High,Urban,2021,Yes,87.51
H04055,Australia,Hydro,1100.31,2024,8,Low,Rural,2012,No,27.55
H03138,Peru,Biomass,1372.4,2022,8,Middle,Urban,2020,No,364.64
